domain,sentence
restaurants,Some baby pizzas get their wish .
restaurants,Overall A oh ya even though there is waiting it is deff worth it
restaurants,The lava cake dessert was incredible and I recommend it .
restaurants,VT is what baby pizzas hope to be when they grow up .
restaurants,From the terrible service  to the bland food  not to mention the unaccommodating managers  the overall experience was horrible .
restaurants,"Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you ""ll"" likely have trouble finishing the amount of food you get for FOUR DOLLARS ."
restaurants,The last time I went we were seated at a table in a corridor next to the kitchen .
restaurants,good selection of wines ranging from affordable to high end .
restaurants,Nice restaurant overall  with classic upscale Italian decor .
restaurants,Not impressed with the food .
restaurants,The entire dining experience was wonderful !
restaurants,"The wine selection -LRB- by the glass and bottle -RRB- is wonderful and I always recommend that friends make a reservation if they ""re"" going to be in town ."
restaurants,"Service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre ""d"" apologized and regularly kept us apprised of progress ."
restaurants,"Order the panang duck  it ""s"" fantastic ."
restaurants,Food is usually very good  though ocasionally I wondered about freshmess of raw vegatables in side orders .
restaurants,"Other than the crappy service from two individuals  it ""s"" great ."
restaurants,They have authentic Indian at amazin prices .
restaurants,Ambiance - relaxed and stylish .
restaurants,Luckily we saved room for the BBQ Salmon  Sea Bass and Crispy Duck .
restaurants,"Yes  they use fancy ingredients  but even fancy ingredients do ""nt"" make for good pizza unless someone knows how to get the crust right ."
restaurants,and yes Dal Bukhara is so dam good and so are all the kababs .
restaurants,I look forward to eating here again
restaurants,"I ""ve"" been coming here as a child and always come back for the taste ."
restaurants,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .
restaurants,A glass of Leaping Lizard  a glass of prosecco  and the mussels had everything happy .
restaurants,Food was average and creme brulee was awful - the sugar was charred  not caramelized and smelled of kerosene .
restaurants,The food always tastes fresh and served promptly .
restaurants,The pizza here is delicious .
restaurants,Pizza and garlic knots are great as well  I order from them quite often and the delivery is always super quick !
restaurants,For great chinese food nearby  you have Wu Liang Ye and Grand Sichuan just a block away .
restaurants,"But who says Murray ""s"" is anything about service ."
restaurants,This place is really trendi but they have forgotten about the most important part of a restaurant  the food .
restaurants,Hats off to the chef .
restaurants,Service could be improved but overall this is a place that understands the importance of little things -LRB- the heavy  black  antique-seeming teapot  for one -RRB- in the restaurant experience .
restaurants,"The pizza is delicious - they use fresh mozzarella instead of the cheap  frozen  shredded cheese common to most pizzaria ""s"" ."
restaurants,Its an excellent place to relax and the food is one of the best in the city of New York .
restaurants,service is friendly  and never had a problem walking in and getting a table .
restaurants,The atmosphere was crowded but it was a great bistro-type vibe .
restaurants,First off  the waitress was completely unattentive the 2 times we saw her -LRB- odd in a restaurant with 6 tables -RRB- and got our order wrong .
restaurants,The food was bland oily .
restaurants,What is even better  is that the prices are very affordable as well  and the food is really good .
restaurants,The fish is fresh but the variety of fish is nothing out of ordinary .
restaurants,Our favorite meal is a pesto pizza  the house salad  and a good bottle of wine .
restaurants,And Kruno  the beverage manager is the best bartender I have yet to come across .
restaurants,Ambiance and music funky  which I enjoy .
restaurants,The food  drinks and service are clearly among the best in the city .
restaurants,I went there in late afternoon for some bite size food and refleshment with my date .
restaurants,I understand the area and folks you need not come here for the romantic  alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods  the tastes  the experiance .
restaurants,"Last time I went here  the waitress did ""nt"" come back after taking our order ."
restaurants,Try the tandoori salmon !
restaurants,"Eating in  the atmosphere saves it  but at your desk  it ""s"" a very disappointing experience ."
restaurants,Granted the space is smaller than most  it is the best service you will find in even the largest of restaurants .
restaurants,I love the atmorphere @ peep !
restaurants,The service was attentive and her suggestions of menu items was right on the mark .
restaurants,The other night we had the $ 30 three course meal and everything was delicious - if I could of licked the plate clean I would of .
restaurants,"Even after getting pushed out by the no-class Famous Ray ""s""  Sal has risen again to carry on his father ""s"" uncle ""s"" legacies with a smile  true love for his community  and let ""s"" not forget the Outstanding Pizza !"
restaurants,The environment is romantic  but the food is horrible  the service is pathetic  and gabriella lies about everything she could .
restaurants,We had crawfish boiled and despite making a mess  it was a ton of fun and quite tasty as well .
restaurants,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion .
restaurants,What came to our table was burned beyond recognition and stringy .
restaurants,I had the Pad Thai and the noodles were sticky .
restaurants,"So I ""ve"" never actually been to M proper  but I ""ve"" had it delivered a few times ."
restaurants,Among all of the new 5th avenue restaurants  this offers by far one of the best values for your money .
restaurants,Frankly  when you compare what you can have here for lunch  versus McDs or so many other sandwich shops in the city  there is no comparison .
restaurants,The hostess is rude to the point of being offensive .
restaurants,"If you ""re"" craving for Haru ""s"" great food  especially the House Roll  but ca ""nt"" stand the wait building outisde  head across the street to their Sake Bar !"
restaurants,A narrow corridor leads to a tiny space where there are three tiny white tiled counters  a great deal of mess -LRB- stacks of bottles  cans -RRB- and a small counter holding 12-14 entrees .
restaurants,The food is great .
restaurants,"Succulent steaks cooked precisely to your desired ` doneness """" accompanied by salads and sides that do ""nt"" look like leafy road kill ."
restaurants,Lunch came with pickels and slaw  no extra charge .
restaurants,Decent wine at reasonable prices .
restaurants,All conveniently delivered right to the door .
restaurants,even the wine by the glass was good .
restaurants,would have rather tried terrace in the sky or water club for that price
restaurants,This dish is my favorite and I always get it when I go there and never get tired of it .
restaurants,I also ordered the Change Mojito  which was out of this world .
restaurants,Okay service .
restaurants,The only thing more wonderful than the food -LRB- which is exceptional -RRB- is the service .
restaurants,The food was just awful  ATROCIOUS actually .
restaurants,The soup for the udon was soy sauce and water .
restaurants,The anti-pasta was excellent  especially the calamari  as were the filling pasta mains .
restaurants,The waitress suggested glasses of wine that went very well with the food .
restaurants,They might be all business at the counter when you give your order  but their food says I love you .
restaurants,We are very particular about sushi and were both please with every choice which included : ceviche mix -LRB- special -RRB-  crab dumplings  assorted sashimi  sushi and rolls  two types of sake  and the banana tempura .
restaurants,Try their plain pizza with fresh garlic or eggplant .
restaurants,"Ok  so the servers wander around a little clueless  but there ""s"" more than enough servers for the crowd they get -- it ""s"" fine  you just have to make a small effort to get their attention ."
restaurants,Good luck getting a table .
restaurants,The service is awful .
restaurants,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes  I ca ""nt"" wait !"
restaurants,I am not the most experienced person when it comes to Thai food  but my friend who took me there is .
restaurants,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes .
restaurants,The pizza is good though .
restaurants,bottles of wine are cheap and good .
restaurants,The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious  if I must recommend a dish it must be the pumkin tortelini .
restaurants,"They did ""nt"" give us the dinner special until we asked for it ."
restaurants,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .
restaurants,"word of advice  save room for pasta dishes and never leave until you ""ve"" had the tiramisu ."
restaurants,Very good service and very good prices .
restaurants,I recently went to this restaurant with some co-workers for lunch and had an amazing time .
restaurants,The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu  present your meal  and attend to your needs .
restaurants,Ess-A-Bagel -LRB- either by Sty-town or midtown -RRB- is by far the best bagel in NY .
restaurants,Our food was great too !
restaurants,The most annoying thing  though  is the fact that the servers seem to be trained to drive revenue .
restaurants,Get your food to go  find a bench  and kick back with a plate of dumplings .
restaurants,Please try the Filet Mignon  its just the most tender piece ever .
restaurants,We were still sitting at the bar while we drank the sangria  but facing away from the bar when we turned back around  the $ 2 was gone the people next to us said the bartender took it .
restaurants,The sake menu should not be overlooked !
restaurants,the drinks are amazing and half off till 8pm .
restaurants,"i ""ve"" been back to nha trang literally a hundred times for the beef cubes - they ""re"" that good ."
restaurants,The service  wine selection  ambiance are all outstanding and deserve recognition .
restaurants,We were seated promptly as we had reservations  however after that the service was slow .
restaurants,"It ""s"" really also the service  is good and the waiters are friendly ."
restaurants,The food was pretty good  but a little flavorless and the portions very small  including dessert .
restaurants,"It is set far from the small street it ""s"" on  and there is no traffic noise ."
restaurants,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there .
restaurants,"I highly recommend Cafe St. Bart ""s"" for their food  the ambience and wonderful service ."
restaurants,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .
restaurants,All the NYU students love this place so it makes for a fun young atmosphere .
restaurants,The food here does a great service to the name -LRB- Cantonese that is ... -RRB- .
restaurants,But  nothing stands out about the cooking .
restaurants,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere .
restaurants,The Prix Fixe menu is worth every penny and you get more than enough -LRB- both in quantity AND quality -RRB- .
restaurants,"I ""ve"" been here 3 times for lunch and it is one of my favorites in the city ."
restaurants,I had their eggs benedict for brunch  which were the worst in my entire life  I tried removing the hollondaise sauce completely that was how failed it was .
restaurants,I work near-by  and they have the BEST oatmeal in the neighborhood - not a packaged or quick-cooked item .
restaurants,"Too bad the food was ""nt"" of the same heritage ."
restaurants,The menu looked good  except for offering the Chilean Sea Bass  but the server does not offer up the specials that were written on the board outside .
restaurants,The food was really good  I had the onion soup and it was one of the best ever .
restaurants,overall  a solid restaurant and at less than $ 40pp -LRB- including wine -RRB-  a solid deal as well .
restaurants,"Since it literally is a complete hole in the wall  it ""s"" a bit intimidating at first  but you get over that very quickly as soon as the friendly staff welcomes you - do ""nt"" hesitate to ask for help with what to get ."
restaurants,Based on the reviews for dinner  this is a place I would reconsider revisiting for that  but definitely not for Dim Sum again .
restaurants,"It costs $ 2 extra to turn a regular roll into an inside-out roll  but the roll more than triples in size  and that ""s"" not just from the rice ."
restaurants,"When he finally did  he was unable to make a gin and tonic -- could ""nt"" find tonic ."
restaurants,"The dim sum is ok but does ""nt"" taste that fresh  and the little dishes do ""nt"" look steamy hot as they should -LRB- also note lack of Chinese here -RRB- ."
restaurants,"The service is ok  some of the people did ""nt"" get what they asked for ."
restaurants,If you want good authentic Thai this place is not the place to go .
restaurants,I recommend getting a reservation even though we saw people seated without one .
restaurants,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .
restaurants,If you want some roast duck  pork or chicken on rice with ginger  try them out !
restaurants,You order from a menu  so you leave feeling like you missed the full experience .
restaurants,Staff is very accomodating .
restaurants,"I went to Del Frisco ""s"" Friday night with my boyfriend for an 8:00 reservation ."
restaurants,yourself a favor and have dinner here and see if you dont agree with me .
restaurants,Very popular style Izakaya -LRB- Sake and small portion of sake-friendly dishes -RRB- .
restaurants,The food was terrific and the service classy  attentive  without being overbearing .
restaurants,This is an amazing place to try some roti rolls .
restaurants,Fresh ingredients and everything is made to order .
restaurants,We have never had any problems with charging the meal or the tip  and the food was delivered quickly  but we live only a few minutes walk from them .
restaurants,Quick and friendly service .
restaurants,They are tasty  but I suggest only eating one with meat because they tend not to mesh that well with the average American digestive system .
restaurants,"Try the hot dogs too  they ""re"" snappy and delicious ."
restaurants,Delivery is fast too .
restaurants,The noise level was unbearable  conversation impossible .
restaurants,Personal pans are the perfect size for those hungry nights .
restaurants,Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls .
restaurants,One of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way .
restaurants,The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon .
restaurants,Odd for Ave B  not just odd  The place attracts an eclectic crowd to say the least .
restaurants,Instead of wasting your time here : SUPPORT RESTAURANTS THAT CARE ABOUT FOOD .
restaurants,just got back from lunch at Tamarind and it was excellent .
restaurants,"head and shoulders above its neighboors on east 6 st  taj mahal is also very comparable  in food quality  to the much overpraised -LRB- and underdeserving -RRB- baluchi ""s"" ."
restaurants,The man that was hosting promised to save a table for our party of 7  then sat a party of 2 at the very table he was saving -LRB- mean while there were boths open all around -RRB- .
restaurants,Try the cheesecake !
restaurants,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were .
restaurants,Great Indian food and the service is incredible .
restaurants,Decor is nice and minimalist  food simple yet very well presented and cooked  and the wine list matches the food very well .
restaurants,I had the salmon dish and while it was fine  for the price paid  I expected it to have some type of flavor .
restaurants,We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich .
restaurants,Especially liked chicken tikka and the naan  and the dals .
restaurants,The waiters were not attentive except that the bill turned up on the table before we were finished .
restaurants,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty .
restaurants,The sangria was pretty tasty and good on a hot muggy day .
restaurants,"Do ""nt"" eat here unless you ""re"" starving for thai food and you work next door ."
restaurants,For the people who want great food plus great service  Roxy is a place to AVOID !
restaurants,I had the best ravioli ever .
restaurants,Ive been here a bunch of times now and the service is always outstanding .
restaurants,The bill is approximately $ 25 for 2 at lunch without drinks .
restaurants,Quite frankly  this is some of the worst sushi I have ever tried .
restaurants,The food is great  service is ok .
restaurants,The overall price tag was very very expensive  something I did expect .
restaurants,Spice is great Thai food  love the inexpensive appetizers .
restaurants,The service was attentive .
restaurants,He not only makes his own homemade mozzarella  but every pie is ultra fresh .
restaurants,Fish was overdone .
restaurants,"When you ""re"" sitting in their main dining room -LRB- which has a spectacular  hand-painted high ceiling -RRB- you ""d"" never know there was a world outside ."
restaurants,We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service .
restaurants,also make sure you pay attention to the music being piped in - quite a weird selection .
restaurants,The establishment scores big points in presentation and style .
restaurants,Good food .
restaurants,The wait staff is very friendly  if not overly efficient .
restaurants,The dim sum however was very good .
restaurants,Service has always been friendly and efficient .
restaurants,Went there and had a combination of different seafood dishes and appetizers .
restaurants,Its a great place for a casual date or to entertain clients for lunch .
restaurants,All we received was an apology as we left to see our show without dinner .
restaurants,The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived .
restaurants,Prices are very good .
restaurants,"We could not catch our waiter ""s"" eye  and he ignored us ."
restaurants,"Plain and simple it ""s"" bad thai food ."
restaurants,Usually 3 vs. 4 items per dish .
restaurants,While certain staples are excellent -LRB- the burger  some of the pastas -RRB-  the food is not really the point .
restaurants,The Dim Sum was so-so  but not spectacular .
restaurants,The food was so-so .
restaurants,The waitress  seems to be more concerned of looking good than actually waitressing .
restaurants,The place is larger than most and features adequate seating unlike most joints  and has a bar which deserves a mention .
restaurants,"Threw my fiance ""s"" surprise 30th birthday dinner here could ""nt"" be happier ."
restaurants,Food - awesome .
restaurants,good music  great food  speedy service affordable prices .
restaurants,The lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .
restaurants,May  the owner always has a smile on her and will warmly greet you .
restaurants,The sides were ok and incredibly salty .
restaurants,For some reason  all the seafood on the menu was unavailable except for the Salmon .
restaurants,The beverages were excellent  and the dessert was good .
restaurants,The hostess and the waitress were incredibly rude and did everything they could to rush us out .
restaurants,"Next time  we would ""nt"" dare ordering anything else other than some simple Asian appetizers and drinks ."
restaurants,"Please if your thinking about it go  and stay the wait you wo ""nt"" be disappointed ."
restaurants,I must say the view of NYC is so beautiful !
restaurants,"If you ""d"" like to have a nice light meal with an asian accent  Long Tan is a good place on the slope ."
restaurants,When going out for a nice dinner  I like a nice ambiance as well as very good food .
restaurants,Otherwise  this place has great service and prices and a nice friendly atmosphere .
restaurants,Highly recommend this as great value for excellent sushi and service .
restaurants,This place would be so much better served by being run by a group that actually understands customer service .
restaurants,A + + The service was good to excellent along with the attitude .
restaurants,The food is awesome - definitely try the striped bass .
restaurants,The music does get a little loud at times  but it just made me want to lean closer to my beautiful wife  and as I did  I got a whiff of corriander .
restaurants,black white shakes came out good also .
restaurants,"It ""s"" simply the best meal in NYC ."
restaurants,After passing by this restaurant for sometime I finally decided to go in and have dinner .
restaurants,The seating was if they were trying to get the maximum amount of people into the restaurant  so be nice to your neighbor when you dine here .
restaurants,I ordered the chu chu curry and my friend ordered the pad thai chicken .
restaurants,We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon .
restaurants,"However  they ""ve"" got the most amazing pastrami and the soups hit the spot ."
restaurants,Great bagels made the old-fashioned way .
restaurants,This is some really good  inexpensive sushi .
restaurants,my personal favorite is an everything bagel with lox spread  but all the bagles are unbeliavably good .
restaurants,"I would ""nt"" even have complained at all if the food at least tasted good but the quality of food was crappy  too ."
restaurants,For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated .
restaurants,The pizza is delicious and the proprietor is one of the nicest in NYC .
restaurants,Also good for client lunch meetings  esp .
restaurants,"The decor is dark  cool and soothing  while the ""foods"" presentation is spectacular  considering the low prices ."
restaurants,The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal .
restaurants,The setting is casual and romantic .
restaurants,Terrible  terrible management - deserves to be shut-down .
restaurants,Great friendly service  Fast seating  Fast Delivery  Excellent sushi .
restaurants,The desserts are more appealing then stuffy overpriced French restaurants .
restaurants,"The Italian food has flavor -LRB- that can be sort of surprising on the UES -RRB-  and the service turns from a nightmare to attentive  they sort of remind me of the NY Yankees of the late 90 ""s""  no matter how bad it look  you knew that there was a rally just around the corner ..."
restaurants,I found the food to be outstanding  particulary the salmon dish I had .
restaurants,Mizu is home to creative and unique rolls not to found anywhere else .
restaurants,"Baluchi ""s"" has solid food and a nice decor at reasonable prices ."
restaurants,Emilio  the owner  is often sitting in the front table greeting guests as they come and go .
restaurants,I have been to spice three times - twice during lunch and once at dinner .
restaurants,Moules were excellent  lobster ravioli was VERY salty !
restaurants,A cheap eat for NYC  but not for dosa .
restaurants,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .
restaurants,"The seafood is amazing  there ""s"" a good wine list  and the ever-changing menu always offers some great surprises ."
restaurants,"i do ""nt"" usually order wine with indian so i ca ""nt"" comment on their wine list or their wines ."
restaurants,Pastrami or corned beef are juicy and piled high -LRB- ask for extra rye bread -RRB- .
restaurants,-LRB- $ 200 for 2 glasses of champagne  not too expensive bottle of wine and 2 after dinner drinks -RRB- .
restaurants,"Really though  where ""s"" the seasoning ?"
restaurants,The food was just OK  at least for what food was available .
restaurants,The waitress was very patient with us and the food is phenomenal !
restaurants,"The ambience was nice  but service was ""nt"" so great ."
restaurants,Solid wine list  knowledgeable staff  friendly owners and an adventurous  ever-changing menu keep us coming back .
restaurants,The people that work there are always so friendly you forget you are in New York sometimes .
restaurants,"We did ""nt"" even see a menu  as our waiter described both the specials and the main dishes ."
restaurants,The location and ambience is Ok but the food is what makes up for it .
restaurants,otherwise  good stuff for late nite eats .
restaurants,The dinner was ok  nothing I would have again .
restaurants,I love and I know gourmet food by excellence !
restaurants,"I plan to come here again and look forward to trying their assortment of bruschetta  panini ""s"" ..."
restaurants,Two people in our party felt like something else  and Volare immediately obliged with two great dishes that were not in their regular menu .
restaurants,He offers subpar service and has no personality .
restaurants,"The waitress remembers me and is very friendly  she knows what my regular is and that ""s"" the fried mini buns with the condensed milk and the assorted fruits on beancurd ."
restaurants,Diner food at bistro prices is a bummer ...
restaurants,While we thoroughly enjoyed the food  it was annoying to scream across the table for conversation .
restaurants,The portions are large and the servers always surprise us with a different starter .
restaurants,delicious bagels  especially when right out of the oven .
restaurants,All the food was hot tasty .
restaurants,This is one great place to eat pizza more out but not a good place for take-out pizza .
restaurants,Our server was very helpful and friendly .
restaurants,Try green curry with vegetables .
restaurants,"First of all  this place is * not * romantic  as claimed by Citysearch ""s"" editorial review ."
restaurants,The second you walk through the heavy vault like door  with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime .
restaurants,Much more reasonably priced too !
restaurants,The food was not very tasty  the portioins were tiny even for such a high quality restaurant .
restaurants,"Why make a reservation if you are ""nt"" going to keep it ?"
restaurants,The Pad Thai is excellent here  as well .
restaurants,I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant .
restaurants,"We parked on the block of Nina ""s"" the place looked nice  with people obviously enjoying their pizzas ."
restaurants,The food is o.k.  but not any better than what you get at a good neighborhood restaurant .
restaurants,We had the pot-stickers which were great and a tempura dish that was great .
restaurants,I think the stuff was better than Disney .
restaurants,"While the $ 20 entree range is not overly expensive  in New York City  there is definitely better food in that range  and so Sapphire  despite it ""s"" lovely atmosphere  will most likely not be a restaurant to which I will return ."
restaurants,Orsay  is without a doubt one of the best values for authentic French food in NYC .
restaurants,Well  their deliveries take for ever and the food is usually cold .
restaurants,The staff is no nonsense .
restaurants,And really large portions .
restaurants,This is a great Thai restaurant with a very friendly staff .
restaurants,I ordered the smoked salmon and roe appetizer and it was off flavor .
restaurants,We went here for lunch a couple of weeks ago on a Saturday  and I was thoroughly impressed with the food .
restaurants,I recommend the garlic shrimp  okra -LRB- bindi -RRB-  and anything with lamb .
restaurants,"As we were leaving  the couple standing by the door said to another waiter  we ""re"" not in a hurry ."
restaurants,The menu was impressive with selections ranging from a burger  to steak  to escargot .
restaurants,In fact  two people could really share one plate .
restaurants,The food is great and authentic .
restaurants,Good for casual dinner with jeans and sneakers .
restaurants,Anyway  the food is good  the price is right and they have a decent wine list .
restaurants,Prices are higher to dine in and their chicken tikka marsala is quite good .
restaurants,This place has many different styles of pizza and they are all amazing .
restaurants,The photos of the restaurant in its web site are way better than the real look .
restaurants,The food was lousy - too sweet or too salty and the portions tiny .
restaurants,But the coconut rice was good .
restaurants,It took them 25 minutes to bring our appetizer .
restaurants,The food was great .
restaurants,Pair you food with the excellent beers on tap or their well priced wine list .
restaurants,"If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you ""ll"" love it here ."
restaurants,"All of my co-workers stated that the food was amazing and wondered why they had ""nt"" heard about this place ."
restaurants,Metrazur has a beautiful spot overlooking the main terminal .
restaurants,"Friendly staff that actually lets you enjoy your meal and the company you ""re"" with ."
restaurants,The restaurant is rather small but we were lucky to get a table quickly .
restaurants,Quality of food is excellent and price is cheap  stick to pork  fish  chicken  lamb and vegetables .
restaurants,The place is a little tight and on a cold day  the seating by the entranceway can be pretty drafty .
restaurants,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price -LRB- if bought by the pound -RRB- .
restaurants,But  they were too big for the bun .
restaurants,The food is fresh  delicious  and reasonably priced .
restaurants,Raga stands out with an interesting fusion of French and Indian cooking .
restaurants,A few tips : skip the turnip cake  roast pork buns and egg custards .
restaurants,The bagels are fabulous .
