,domain,sentence,aspects
59,restaurants,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded .,"['I', 'a review', 'the atmosphere', 'I', 'it']"
60,restaurants,They are often crowded on the weekends but they are efficient and accurate with their service .,"['They', 'the weekends', 'they', 'their service']"
61,restaurants,All my co-workers were amazed at how small the dish was .,"['All my co', '-', 'workers', 'the dish']"
62,restaurants,The atmosphere is unheralded  the service impecible  and the food magnificant .,"['The atmosphere', 'the service', 'the food magnificant']"
63,restaurants,We ordered the special  grilled branzino  that was so infused with bone  it was difficult to eat .,"['We', 'the special  grilled branzino', 'that', 'bone', 'it']"
64,restaurants,The wait staff is friendly  and the food has gotten better and better !,"['The wait staff', 'the food']"
65,restaurants,It may be a bit packed on weekends  but the vibe is good and it is the best French food you will find in the area .,"['It', 'weekends', 'the vibe', 'it', 'the best French food', 'you', 'the area']"
66,restaurants,Right off the L in Brooklyn this is a nice cozy place with good pizza .,"['the L', 'Brooklyn', 'this', 'a nice cozy place', 'good pizza']"
67,restaurants,Le Pere Pinard has a $ 15 pre-theater menu that is outstanding .,"['Le Pere Pinard', 'a $ 15 pre-theater menu', 'that']"
68,restaurants,I also ordered for delivery and the restaurant forgot half the order .,"['I', 'delivery', 'the restaurant', 'half the order']"
69,restaurants,Our server checked on us maybe twice during the entire meal .,"['Our server', 'us', 'the entire meal']"
70,restaurants,The strong scents coming from the left and right of me negatively affected my taste buds .,"['The strong scents', 'the left', 'right', 'me', 'my taste buds']"
71,restaurants,We had the lobster sandwich and it was FANTASTIC .,"['We', 'the lobster sandwich', 'it', 'FANTASTIC']"
72,restaurants,"Had we been stalling I could understand where they were coming from  but we had been there less than an hour and they had ""nt"" even brought us a check yet !","['we', 'I', 'they', 'we', 'they', 'us', 'a check']"
73,restaurants,Though the Spider Roll may look like a challenge to eat  with soft shell crab hanging out of the roll  it is well worth the price you pay for them .,"['the Spider Roll', 'a challenge', 'soft shell crab', 'the roll', 'it', 'you', 'them']"
74,restaurants,Deep Fried Skewers are good and still rare to find in NYC .,"['Deep Fried Skewers', 'NYC']"
75,restaurants,"I have tried to make reservations  but both times  the hostess did ""nt"" have my name .","['I', 'reservations', 'the hostess', 'my name']"
76,restaurants,I also recommend the rice dishes or the different varieties of congee -LRB- rice porridge -RRB- .,"['I', 'the rice dishes', 'the different varieties', 'congee -LRB- rice porridge -RRB-']"
77,restaurants,Their tuna tartar appetizer is to die for .,['Their tuna tartar appetizer']
78,restaurants,"An oasis of refinement : Food  though somewhat uneven  often reaches the pinnacles of new American fine cuisine - chef ""s"" passion -LRB- and kitchen ""s"" precise execution -RRB- is most evident in the fish dishes and soups .","['An oasis', 'refinement', 'Food', 'the pinnacles', 'new American fine cuisine - chef ""s"" passion -LRB- and kitchen ""s"" precise execution -RRB-', 'the fish dishes', 'soups']"
79,restaurants,"If you love wine and cheese and delicious french fare  you ""ll"" love Artisanal !","['you', 'wine', 'cheese', 'you', 'Artisanal']"
80,restaurants,I love Indian food and consider myself to be quite an expert on it .,"['I', 'Indian food', 'myself', 'quite an expert', 'it']"
81,restaurants,Some baby pizzas get their wish .,"['Some baby pizzas', 'their wish']"
82,restaurants,Overall A oh ya even though there is waiting it is deff worth it,"['Overall A', 'it', 'it']"
83,restaurants,The lava cake dessert was incredible and I recommend it .,"['The lava cake dessert', 'I', 'it']"
84,restaurants,VT is what baby pizzas hope to be when they grow up .,"['VT', 'what', 'they']"
85,restaurants,From the terrible service  to the bland food  not to mention the unaccommodating managers  the overall experience was horrible .,"['the terrible service', 'the bland food', 'the unaccommodating managers', 'the overall experience']"
86,restaurants,"Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you ""ll"" likely have trouble finishing the amount of food you get for FOUR DOLLARS .","['Lahore', 'a great place', 'late-night', 'you', 'some really tasty food', 'you', 'trouble', 'the amount', 'food', 'you', 'FOUR DOLLARS']"
87,restaurants,The last time I went we were seated at a table in a corridor next to the kitchen .,"['I', 'we', 'a table', 'a corridor', 'the kitchen']"
88,restaurants,good selection of wines ranging from affordable to high end .,"['good selection', 'wines', 'high end']"
89,restaurants,Nice restaurant overall  with classic upscale Italian decor .,"['Nice restaurant', 'classic upscale Italian decor']"
90,restaurants,Not impressed with the food .,['the food']
91,restaurants,The entire dining experience was wonderful !,['The entire dining experience']
92,restaurants,"The wine selection -LRB- by the glass and bottle -RRB- is wonderful and I always recommend that friends make a reservation if they ""re"" going to be in town .","['The wine selection', '-LRB-', 'the glass', 'bottle', '-RRB-', 'I', 'friends', 'a reservation', 'they', 'town']"
93,restaurants,"Service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre ""d"" apologized and regularly kept us apprised of progress .","['Service', 'our seating', 'our reservation', 'the maitre ""d', 'us', 'progress']"
94,restaurants,"Order the panang duck  it ""s"" fantastic .",['the panang duck']
95,restaurants,Food is usually very good  though ocasionally I wondered about freshmess of raw vegatables in side orders .,"['Food', 'I', 'freshmess', 'raw vegatables', 'side orders']"
96,restaurants,"Other than the crappy service from two individuals  it ""s"" great .","['the crappy service', 'two individuals', 'it']"
97,restaurants,They have authentic Indian at amazin prices .,"['They', 'authentic Indian', 'amazin prices']"
98,restaurants,Ambiance - relaxed and stylish .,[]
99,restaurants,Luckily we saved room for the BBQ Salmon  Sea Bass and Crispy Duck .,"['we', 'room', 'the BBQ Salmon  Sea Bass', 'Crispy Duck']"
100,restaurants,"Yes  they use fancy ingredients  but even fancy ingredients do ""nt"" make for good pizza unless someone knows how to get the crust right .","['they', 'fancy ingredients', 'even fancy ingredients', 'good pizza', 'someone', 'the crust']"
101,restaurants,and yes Dal Bukhara is so dam good and so are all the kababs .,"['Dal Bukhara', 'all the kababs']"
102,restaurants,I look forward to eating here again,['I']
103,restaurants,"I ""ve"" been coming here as a child and always come back for the taste .","['I', 'a child', 'the taste']"
104,restaurants,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .,"['Tuk Tuk', 'those comfortable neighborhood joints', 'you', 'you', 'a good meal', 'a fair price']"
105,restaurants,A glass of Leaping Lizard  a glass of prosecco  and the mussels had everything happy .,"['A glass', 'Leaping Lizard', 'a glass', 'prosecco', 'the mussels', 'everything']"
106,restaurants,Food was average and creme brulee was awful - the sugar was charred  not caramelized and smelled of kerosene .,"['Food', 'brulee', 'the sugar', 'kerosene']"
107,restaurants,The food always tastes fresh and served promptly .,['The food']
108,restaurants,The pizza here is delicious .,['The pizza']
109,restaurants,Pizza and garlic knots are great as well  I order from them quite often and the delivery is always super quick !,"['Pizza and garlic knots', 'I', 'them', 'the delivery']"
110,restaurants,For great chinese food nearby  you have Wu Liang Ye and Grand Sichuan just a block away .,"['great chinese food', 'you', 'Wu Liang Ye', 'Grand Sichuan']"
111,restaurants,"But who says Murray ""s"" is anything about service .","['who', 'anything', 'service']"
112,restaurants,This place is really trendi but they have forgotten about the most important part of a restaurant  the food .,"['This place', 'trendi', 'they', 'the most important part', 'a restaurant', 'the food']"
113,restaurants,Hats off to the chef .,"['Hats', 'the chef']"
114,restaurants,Service could be improved but overall this is a place that understands the importance of little things -LRB- the heavy  black  antique-seeming teapot  for one -RRB- in the restaurant experience .,"['Service', 'this', 'a place', 'that', 'the importance', 'little things', 'the heavy  black  antique-seeming teapot', 'one -RRB-', 'the restaurant experience']"
115,restaurants,"The pizza is delicious - they use fresh mozzarella instead of the cheap  frozen  shredded cheese common to most pizzaria ""s"" .","['The pizza', 'they', 'fresh mozzarella', 'the cheap  frozen  shredded cheese', 'most pizzaria ""s']"
116,restaurants,Its an excellent place to relax and the food is one of the best in the city of New York .,"['Its an excellent place', 'the food', 'the city', 'New York']"
117,restaurants,service is friendly  and never had a problem walking in and getting a table .,"['service', 'a problem', 'a table']"
118,restaurants,The atmosphere was crowded but it was a great bistro-type vibe .,"['The atmosphere', 'it', 'a great bistro-type vibe']"
119,restaurants,First off  the waitress was completely unattentive the 2 times we saw her -LRB- odd in a restaurant with 6 tables -RRB- and got our order wrong .,"['the waitress', 'we', 'her -LRB-', 'a restaurant', '6 tables', '-RRB-', 'our order']"
120,restaurants,The food was bland oily .,['The food']
121,restaurants,What is even better  is that the prices are very affordable as well  and the food is really good .,"['What', 'the prices', 'the food']"
122,restaurants,The fish is fresh but the variety of fish is nothing out of ordinary .,"['The fish', 'the variety', 'fish', 'nothing']"
123,restaurants,Our favorite meal is a pesto pizza  the house salad  and a good bottle of wine .,"['Our favorite meal', 'a pesto pizza', 'the house', 'wine']"
124,restaurants,And Kruno  the beverage manager is the best bartender I have yet to come across .,"['Kruno', 'the beverage manager', 'the best bartender', 'I']"
125,restaurants,Ambiance and music funky  which I enjoy .,"['Ambiance', 'music', 'which', 'I']"
126,restaurants,The food  drinks and service are clearly among the best in the city .,"['The food  drinks', 'service', 'the city']"
127,restaurants,I went there in late afternoon for some bite size food and refleshment with my date .,"['I', 'late afternoon', 'some bite size food', 'refleshment', 'my date']"
128,restaurants,I understand the area and folks you need not come here for the romantic  alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods  the tastes  the experiance .,"['I', 'the area', 'folks', 'you', 'the romantic  alluring ambiance', 'the five star service', 'a complicated maze', 'captain', 'back waiters', 'you', 'the authentic foods', 'the tastes']"
129,restaurants,"Last time I went here  the waitress did ""nt"" come back after taking our order .","['I', 'the waitress', 'our order']"
130,restaurants,Try the tandoori salmon !,['the tandoori salmon']
131,restaurants,"Eating in  the atmosphere saves it  but at your desk  it ""s"" a very disappointing experience .","['the atmosphere', 'it', 'your desk', 'it', 'a very disappointing experience']"
132,restaurants,Granted the space is smaller than most  it is the best service you will find in even the largest of restaurants .,"['the space', 'it', 'the best service', 'you', 'restaurants']"
133,restaurants,I love the atmorphere @ peep !,"['I', 'peep']"
134,restaurants,The service was attentive and her suggestions of menu items was right on the mark .,"['The service', 'her suggestions', 'menu items', 'the mark']"
135,restaurants,The other night we had the $ 30 three course meal and everything was delicious - if I could of licked the plate clean I would of .,"['we', 'the $ 30 three course meal', 'everything', 'I', 'the plate', 'I']"
136,restaurants,"Even after getting pushed out by the no-class Famous Ray ""s""  Sal has risen again to carry on his father ""s"" uncle ""s"" legacies with a smile  true love for his community  and let ""s"" not forget the Outstanding Pizza !","['the no-class Famous Ray ""s', 'Sal', 'his father ""s"" uncle ""s"" legacies', 'a smile  true love', 'his community', 'the Outstanding Pizza']"
137,restaurants,The environment is romantic  but the food is horrible  the service is pathetic  and gabriella lies about everything she could .,"['The environment', 'the food', 'the service', 'gabriella', 'everything', 'she']"
138,restaurants,We had crawfish boiled and despite making a mess  it was a ton of fun and quite tasty as well .,"['We', 'crawfish', 'a mess', 'it', 'a ton', 'fun']"
139,restaurants,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion .,"['I', 'very high expectations', 'this place', 'a reservation', 'months', 'advance', 'a special occasion']"
140,restaurants,What came to our table was burned beyond recognition and stringy .,"['What', 'our table', 'recognition', 'stringy']"
141,restaurants,I had the Pad Thai and the noodles were sticky .,"['I', 'the Pad Thai', 'the noodles']"
142,restaurants,"So I ""ve"" never actually been to M proper  but I ""ve"" had it delivered a few times .","['I', 'M', 'I', 'it', 'a few times']"
143,restaurants,Among all of the new 5th avenue restaurants  this offers by far one of the best values for your money .,"['all', 'the new 5th avenue restaurants', 'the best values', 'your money']"
144,restaurants,Frankly  when you compare what you can have here for lunch  versus McDs or so many other sandwich shops in the city  there is no comparison .,"['you', 'what', 'you', 'lunch', 'McDs', 'so many other sandwich shops', 'the city', 'no comparison']"
145,restaurants,The hostess is rude to the point of being offensive .,"['The hostess', 'the point']"
146,restaurants,"If you ""re"" craving for Haru ""s"" great food  especially the House Roll  but ca ""nt"" stand the wait building outisde  head across the street to their Sake Bar !","['you', 'Haru ""s', 'great food', 'especially the House Roll', 'the wait', 'outisde  head', 'the street', 'their Sake Bar']"
147,restaurants,A narrow corridor leads to a tiny space where there are three tiny white tiled counters  a great deal of mess -LRB- stacks of bottles  cans -RRB- and a small counter holding 12-14 entrees .,"['A narrow corridor', 'a tiny space', 'three tiny white tiled counters', 'a great deal', 'mess', 'stacks', 'bottles  cans', '-RRB-', 'a small counter', '12-14 entrees']"
148,restaurants,The food is great .,['The food']
149,restaurants,"Succulent steaks cooked precisely to your desired ` doneness """" accompanied by salads and sides that do ""nt"" look like leafy road kill .","['Succulent steaks', 'your desired ` doneness', 'salads', 'sides', 'that', 'leafy road kill']"
150,restaurants,Lunch came with pickels and slaw  no extra charge .,"['Lunch', 'pickels', 'slaw', 'no extra charge']"
151,restaurants,Decent wine at reasonable prices .,"['Decent wine', 'reasonable prices']"
152,restaurants,All conveniently delivered right to the door .,"['All', 'the door']"
153,restaurants,even the wine by the glass was good .,"['even the wine', 'the glass']"
154,restaurants,would have rather tried terrace in the sky or water club for that price,"['terrace', 'the sky', 'water club', 'that price']"
155,restaurants,This dish is my favorite and I always get it when I go there and never get tired of it .,"['This dish', 'I', 'it', 'I', 'it']"
156,restaurants,I also ordered the Change Mojito  which was out of this world .,"['I', 'the Change Mojito', 'which', 'this world']"
157,restaurants,Okay service .,['Okay service']
158,restaurants,The only thing more wonderful than the food -LRB- which is exceptional -RRB- is the service .,"['The only thing', 'the food', 'which', 'the service']"
159,restaurants,The food was just awful  ATROCIOUS actually .,"['The food', 'ATROCIOUS']"
160,restaurants,The soup for the udon was soy sauce and water .,"['The soup', 'the udon', 'soy sauce', 'water']"
161,restaurants,The anti-pasta was excellent  especially the calamari  as were the filling pasta mains .,"['The', 'especially the calamari', 'the filling pasta mains']"
162,restaurants,The waitress suggested glasses of wine that went very well with the food .,"['The waitress', 'glasses', 'wine', 'that', 'the food']"
163,restaurants,They might be all business at the counter when you give your order  but their food says I love you .,"['They', 'all business', 'the counter', 'you', 'your order', 'their food', 'I', 'you']"
164,restaurants,We are very particular about sushi and were both please with every choice which included : ceviche mix -LRB- special -RRB-  crab dumplings  assorted sashimi  sushi and rolls  two types of sake  and the banana tempura .,"['We', 'sushi', 'every choice', 'which', 'ceviche mix -LRB- special -RRB-  crab dumplings', 'two types', 'sake', 'the banana tempura']"
165,restaurants,Try their plain pizza with fresh garlic or eggplant .,"['their plain pizza', 'fresh garlic', 'eggplant']"
166,restaurants,"Ok  so the servers wander around a little clueless  but there ""s"" more than enough servers for the crowd they get -- it ""s"" fine  you just have to make a small effort to get their attention .","['the servers', 'a little clueless', 'enough servers', 'the crowd', 'they', 'you', 'a small effort', 'their attention']"
167,restaurants,Good luck getting a table .,"['Good luck', 'a table']"
168,restaurants,The service is awful .,['The service']
169,restaurants,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes  I ca ""nt"" wait !","['The takeout menu', 'an eye', 'an expanded menu', 'more italian dishes', 'I']"
170,restaurants,I am not the most experienced person when it comes to Thai food  but my friend who took me there is .,"['I', 'the most experienced person', 'it', 'Thai food', 'my friend', 'who', 'me']"
171,restaurants,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes .,"['two people', 'two hundred people', 'you', 'the hostess', 'your name', 'you']"
172,restaurants,The pizza is good though .,['The pizza']
173,restaurants,bottles of wine are cheap and good .,"['bottles', 'wine']"
174,restaurants,The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious  if I must recommend a dish it must be the pumkin tortelini .,"['over 100 different beers', 'thier guest', 'that', 'my husband', 'the food', 'I', 'a dish', 'it', 'the pumkin tortelini']"
175,restaurants,"They did ""nt"" give us the dinner special until we asked for it .","['They', 'us', 'the dinner', 'we', 'it']"
176,restaurants,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,"['You', 'the crabmeat lasagna', 'which', 'this world', 'the chocolate bread pudding', 'dessert']"
177,restaurants,"word of advice  save room for pasta dishes and never leave until you ""ve"" had the tiramisu .","['word', 'advice  save room', 'pasta dishes', 'you', 'the tiramisu']"
178,restaurants,Very good service and very good prices .,"['Very good service', 'very good prices']"
179,restaurants,I recently went to this restaurant with some co-workers for lunch and had an amazing time .,"['I', 'this restaurant', 'some co', '-', 'workers', 'lunch', 'an amazing time']"
180,restaurants,The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu  present your meal  and attend to your needs .,"['The service', 'the staff', 'what', 'they', 'their menu', 'your meal', 'your needs']"
181,restaurants,Ess-A-Bagel -LRB- either by Sty-town or midtown -RRB- is by far the best bagel in NY .,"['Ess-A-Bagel -LRB-', 'Sty-town', 'midtown', '-RRB-', 'the best bagel', 'NY']"
182,restaurants,Our food was great too !,['Our food']
183,restaurants,The most annoying thing  though  is the fact that the servers seem to be trained to drive revenue .,"['The most annoying thing', 'the fact', 'the servers', 'revenue']"
184,restaurants,Get your food to go  find a bench  and kick back with a plate of dumplings .,"['your food', 'a bench', 'a plate', 'dumplings']"
185,restaurants,Please try the Filet Mignon  its just the most tender piece ever .,"['the Filet Mignon', 'its just the most tender piece']"
186,restaurants,We were still sitting at the bar while we drank the sangria  but facing away from the bar when we turned back around  the $ 2 was gone the people next to us said the bartender took it .,"['We', 'the bar', 'we', 'the sangria', 'the bar', 'we', 'the people', 'us', 'the bartender', 'it']"
187,restaurants,The sake menu should not be overlooked !,['The sake menu']
188,restaurants,the drinks are amazing and half off till 8pm .,"['the drinks', '8pm']"
189,restaurants,"i ""ve"" been back to nha trang literally a hundred times for the beef cubes - they ""re"" that good .","['i', 'the beef cubes', 'they']"
190,restaurants,The service  wine selection  ambiance are all outstanding and deserve recognition .,"['The service  wine selection  ambiance', 'recognition']"
191,restaurants,We were seated promptly as we had reservations  however after that the service was slow .,"['We', 'we', 'reservations', 'the service']"
192,restaurants,"It ""s"" really also the service  is good and the waiters are friendly .","['It', 'the service', 'the waiters']"
193,restaurants,The food was pretty good  but a little flavorless and the portions very small  including dessert .,"['The food', 'the portions', 'dessert']"
194,restaurants,"It is set far from the small street it ""s"" on  and there is no traffic noise .","['It', 'the small street', 'it', 'no traffic noise']"
195,restaurants,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there .,"['Shanghai', 'my life', 'the food', 'the flagship', 'Green Bo restaurant']"
196,restaurants,"I highly recommend Cafe St. Bart ""s"" for their food  the ambience and wonderful service .","['I', 'Cafe St. Bart ""s', 'their food', 'the ambience', 'service']"
197,restaurants,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,"['This', 'a nice restaurant', 'you', 'a good place', 'an intimate dinner meeting', 'business associates']"
198,restaurants,All the NYU students love this place so it makes for a fun young atmosphere .,"['All the NYU students', 'this place', 'it', 'a fun young atmosphere']"
199,restaurants,The food here does a great service to the name -LRB- Cantonese that is ... -RRB- .,"['The food', 'a great service', 'the name', '-LRB- Cantonese', 'that', '-RRB-']"
200,restaurants,But  nothing stands out about the cooking .,"['nothing', 'the cooking']"
201,restaurants,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere .,"['Joya', 'a cool spot', 'decent food', 'a colorful - if not relaxed - atmosphere']"
202,restaurants,The Prix Fixe menu is worth every penny and you get more than enough -LRB- both in quantity AND quality -RRB- .,"['The Prix Fixe menu', 'you', 'quantity', 'quality', '-RRB-']"
203,restaurants,"I ""ve"" been here 3 times for lunch and it is one of my favorites in the city .","['I', 'lunch', 'it', 'my favorites', 'the city']"
204,restaurants,I had their eggs benedict for brunch  which were the worst in my entire life  I tried removing the hollondaise sauce completely that was how failed it was .,"['I', 'their eggs', 'brunch', 'which', 'my entire life', 'I', 'that', 'it']"
205,restaurants,I work near-by  and they have the BEST oatmeal in the neighborhood - not a packaged or quick-cooked item .,"['I', 'they', 'the BEST', 'the neighborhood - not a packaged or quick-cooked item']"
206,restaurants,"Too bad the food was ""nt"" of the same heritage .","['the food', 'the same heritage']"
207,restaurants,The menu looked good  except for offering the Chilean Sea Bass  but the server does not offer up the specials that were written on the board outside .,"['The menu', 'the Chilean Sea Bass', 'the server', 'the specials', 'that', 'the board']"
208,restaurants,The food was really good  I had the onion soup and it was one of the best ever .,"['The food', 'I', 'the onion soup', 'it']"
209,restaurants,overall  a solid restaurant and at less than $ 40pp -LRB- including wine -RRB-  a solid deal as well .,"['overall  a solid restaurant', 'wine', 'a solid deal']"
